Usuario,TimeStamp,angry,disgust,fear,happy,sad,surprise,neutral,Dominant_Emotion
tester_app1,2026-03-08 09:18:30.955,0.2,0.0,0.05,0.0,0.34,0.01,0.4,neutral
tester_app1,2026-03-08 09:18:30.992,0.21,0.0,0.03,0.0,0.26,0.0,0.49,neutral
tester_app1,2026-03-08 09:18:31.030,0.19,0.0,0.03,0.0,0.21,0.01,0.56,neutral
tester_app1,2026-03-08 09:18:31.066,0.09,0.0,0.09,0.0,0.56,0.0,0.25,sad
tester_app1,2026-03-08 09:18:31.107,0.06,0.0,0.03,0.0,0.05,0.0,0.86,neutral
tester_app1,2026-03-08 09:18:31.147,0.04,0.0,0.02,0.0,0.02,0.01,0.91,neutral
tester_app1,2026-03-08 09:18:31.194,0.06,0.0,0.03,0.0,0.03,0.04,0.84,neutral
tester_app1,2026-03-08 09:18:31.237,0.03,0.0,0.03,0.0,0.04,0.02,0.88,neutral
tester_app1,2026-03-08 09:18:31.273,0.04,0.0,0.07,0.0,0.02,0.19,0.68,neutral
tester_app1,2026-03-08 09:18:31.309,0.03,0.0,0.09,0.0,0.02,0.29,0.57,neutral
tester_app1,2026-03-08 09:18:31.351,0.01,0.0,0.04,0.0,0.02,0.13,0.8,neutral
tester_app1,2026-03-08 09:18:31.407,0.01,0.0,0.07,0.0,0.01,0.26,0.64,neutral
tester_app1,2026-03-08 09:18:31.451,0.01,0.0,0.05,0.0,0.05,0.01,0.88,neutral
tester_app1,2026-03-08 09:18:31.496,0.02,0.0,0.11,0.0,0.08,0.02,0.77,neutral
tester_app1,2026-03-08 09:18:31.535,0.03,0.01,0.04,0.01,0.11,0.01,0.8,neutral
tester_app1,2026-03-08 09:18:31.572,0.06,0.01,0.04,0.01,0.12,0.01,0.75,neutral
tester_app1,2026-03-08 09:18:31.611,0.02,0.0,0.03,0.01,0.04,0.01,0.88,neutral
tester_app1,2026-03-08 09:18:31.652,0.02,0.0,0.07,0.01,0.05,0.06,0.8,neutral
tester_app1,2026-03-08 09:18:31.690,0.04,0.0,0.1,0.0,0.06,0.32,0.48,neutral
tester_app1,2026-03-08 09:18:31.728,0.31,0.0,0.13,0.0,0.01,0.37,0.18,surprise
tester_app1,2026-03-08 09:18:31.769,0.28,0.0,0.09,0.0,0.01,0.52,0.1,surprise
tester_app1,2026-03-08 09:18:31.807,0.45,0.0,0.1,0.0,0.01,0.34,0.09,angry
tester_app1,2026-03-08 09:18:31.849,0.46,0.0,0.09,0.0,0.01,0.34,0.1,angry
tester_app1,2026-03-08 09:18:31.891,0.56,0.0,0.14,0.0,0.0,0.26,0.03,angry
tester_app1,2026-03-08 09:18:31.936,0.5,0.0,0.2,0.0,0.01,0.24,0.06,angry
tester_app1,2026-03-08 09:18:31.974,0.47,0.0,0.18,0.0,0.02,0.25,0.07,angry
tester_app1,2026-03-08 09:18:32.011,0.39,0.0,0.1,0.0,0.01,0.45,0.05,surprise
tester_app1,2026-03-08 09:18:32.046,0.27,0.0,0.06,0.0,0.0,0.65,0.02,surprise
tester_app1,2026-03-08 09:18:32.083,0.2,0.0,0.07,0.0,0.01,0.64,0.08,surprise
tester_app1,2026-03-08 09:18:32.119,0.68,0.0,0.14,0.0,0.0,0.11,0.06,angry
tester_app1,2026-03-08 09:18:32.155,0.52,0.0,0.1,0.0,0.0,0.34,0.04,angry
tester_app1,2026-03-08 09:18:32.194,0.44,0.0,0.16,0.0,0.0,0.33,0.07,angry
tester_app1,2026-03-08 09:18:32.237,0.21,0.0,0.08,0.0,0.01,0.62,0.08,surprise
tester_app1,2026-03-08 09:18:32.275,0.39,0.0,0.11,0.0,0.0,0.41,0.08,surprise
tester_app1,2026-03-08 09:18:32.312,0.27,0.0,0.05,0.0,0.0,0.61,0.07,surprise
tester_app1,2026-03-08 09:18:32.346,0.3,0.0,0.1,0.0,0.01,0.54,0.05,surprise
tester_app1,2026-03-08 09:18:32.382,0.09,0.0,0.07,0.0,0.0,0.76,0.07,surprise
tester_app1,2026-03-08 09:18:32.417,0.14,0.0,0.1,0.0,0.0,0.71,0.04,surprise
tester_app1,2026-03-08 09:18:32.453,0.14,0.0,0.08,0.0,0.01,0.69,0.07,surprise
tester_app1,2026-03-08 09:18:32.493,0.12,0.0,0.09,0.0,0.0,0.74,0.05,surprise
tester_app1,2026-03-08 09:18:32.529,0.1,0.0,0.15,0.0,0.0,0.71,0.03,surprise
tester_app1,2026-03-08 09:18:32.568,0.23,0.0,0.15,0.0,0.01,0.58,0.03,surprise
tester_app1,2026-03-08 09:18:32.603,0.2,0.0,0.1,0.0,0.01,0.6,0.09,surprise
tester_app1,2026-03-08 09:18:32.637,0.09,0.0,0.14,0.0,0.0,0.76,0.02,surprise
tester_app1,2026-03-08 09:18:32.672,0.07,0.0,0.07,0.0,0.0,0.83,0.02,surprise
tester_app1,2026-03-08 09:18:32.706,0.13,0.0,0.18,0.0,0.01,0.54,0.13,surprise
tester_app1,2026-03-08 09:18:32.741,0.1,0.0,0.07,0.0,0.0,0.78,0.04,surprise
tester_app1,2026-03-08 09:18:32.775,0.05,0.0,0.04,0.0,0.0,0.87,0.04,surprise
tester_app1,2026-03-08 09:18:32.809,0.07,0.0,0.06,0.0,0.0,0.86,0.02,surprise
tester_app1,2026-03-08 09:18:32.843,0.06,0.0,0.09,0.0,0.01,0.79,0.05,surprise
tester_app1,2026-03-08 09:18:32.878,0.04,0.0,0.05,0.0,0.0,0.89,0.02,surprise
tester_app1,2026-03-08 09:18:32.918,0.03,0.0,0.04,0.0,0.0,0.92,0.01,surprise
tester_app1,2026-03-08 09:18:32.956,0.06,0.0,0.05,0.0,0.0,0.81,0.07,surprise
tester_app1,2026-03-08 09:18:32.991,0.02,0.0,0.04,0.0,0.0,0.94,0.01,surprise
tester_app1,2026-03-08 09:18:33.028,0.02,0.0,0.03,0.0,0.0,0.94,0.01,surprise
tester_app1,2026-03-08 09:18:33.066,0.04,0.0,0.02,0.0,0.0,0.89,0.04,surprise
tester_app1,2026-03-08 09:18:33.104,0.07,0.0,0.04,0.0,0.0,0.86,0.03,surprise
tester_app1,2026-03-08 09:18:33.146,0.06,0.0,0.03,0.0,0.0,0.89,0.02,surprise
tester_app1,2026-03-08 09:18:33.190,0.04,0.0,0.02,0.0,0.0,0.93,0.01,surprise
tester_app1,2026-03-08 09:18:33.235,0.05,0.0,0.05,0.0,0.0,0.88,0.02,surprise
tester_app1,2026-03-08 09:18:33.281,0.04,0.0,0.02,0.0,0.0,0.92,0.02,surprise
tester_app1,2026-03-08 09:18:33.324,0.03,0.0,0.02,0.0,0.0,0.92,0.03,surprise
tester_app1,2026-03-08 09:18:33.364,0.1,0.0,0.05,0.0,0.0,0.81,0.04,surprise
tester_app1,2026-03-08 09:18:33.406,0.05,0.0,0.02,0.0,0.0,0.89,0.03,surprise
tester_app1,2026-03-08 09:18:33.453,0.06,0.0,0.07,0.0,0.0,0.8,0.07,surprise
tester_app1,2026-03-08 09:18:33.496,0.11,0.0,0.3,0.0,0.02,0.25,0.31,neutral
tester_app1,2026-03-08 09:18:33.537,0.07,0.0,0.22,0.0,0.03,0.02,0.66,neutral
tester_app1,2026-03-08 09:18:33.576,0.11,0.0,0.07,0.0,0.05,0.02,0.76,neutral
tester_app1,2026-03-08 09:18:33.615,0.12,0.0,0.04,0.0,0.05,0.01,0.78,neutral
tester_app1,2026-03-08 09:18:33.659,0.09,0.0,0.03,0.0,0.07,0.0,0.82,neutral
tester_app1,2026-03-08 09:18:33.697,0.21,0.0,0.07,0.0,0.1,0.01,0.61,neutral
tester_app1,2026-03-08 09:18:33.733,0.1,0.0,0.02,0.01,0.07,0.0,0.8,neutral
tester_app1,2026-03-08 09:18:33.770,0.14,0.0,0.07,0.01,0.09,0.0,0.69,neutral
tester_app1,2026-03-08 09:18:33.805,0.09,0.0,0.09,0.01,0.09,0.01,0.71,neutral
