Usuario,TimeStamp,Emocion,Confianza_en_prediccion
diego,2026-03-07 18:51:56.187,neutral,0.42
diego,2026-03-07 18:51:56.222,neutral,0.53
diego,2026-03-07 18:51:56.255,neutral,0.63
diego,2026-03-07 18:51:56.294,neutral,0.61
diego,2026-03-07 18:51:56.333,neutral,0.51
diego,2026-03-07 18:51:56.366,neutral,0.61
diego,2026-03-07 18:51:56.402,neutral,0.52
diego,2026-03-07 18:51:56.436,neutral,0.49
diego,2026-03-07 18:51:56.469,neutral,0.62
diego,2026-03-07 18:51:56.508,sad,0.38
diego,2026-03-07 18:51:56.541,neutral,0.52
diego,2026-03-07 18:51:56.575,sad,0.42
diego,2026-03-07 18:51:56.607,sad,0.52
diego,2026-03-07 18:51:56.643,sad,0.47
diego,2026-03-07 18:51:56.682,neutral,0.36
diego,2026-03-07 18:51:56.725,neutral,0.58
diego,2026-03-07 18:51:56.766,neutral,0.35
diego,2026-03-07 18:51:56.805,fear,0.36
diego,2026-03-07 18:51:56.840,sad,0.39
diego,2026-03-07 18:51:56.874,sad,0.32
diego,2026-03-07 18:51:56.908,neutral,0.45
diego,2026-03-07 18:51:56.942,neutral,0.33
diego,2026-03-07 18:51:56.975,neutral,0.31
diego,2026-03-07 18:51:57.009,neutral,0.56
diego,2026-03-07 18:51:57.045,sad,0.39
diego,2026-03-07 18:51:57.079,sad,0.61
diego,2026-03-07 18:51:57.111,sad,0.63
diego,2026-03-07 18:51:57.144,sad,0.69
diego,2026-03-07 18:51:57.176,sad,0.69
diego,2026-03-07 18:51:57.209,sad,0.67
diego,2026-03-07 18:51:57.241,sad,0.8
diego,2026-03-07 18:51:57.274,sad,0.74
diego,2026-03-07 18:51:57.308,sad,0.84
diego,2026-03-07 18:51:57.343,sad,0.78
diego,2026-03-07 18:51:57.375,sad,0.78
diego,2026-03-07 18:51:57.407,sad,0.82
diego,2026-03-07 18:51:57.438,sad,0.8
diego,2026-03-07 18:51:57.471,sad,0.84
